id,_id,ltable_id,rtable_id,ltable_name,ltable_year,rtable_name,rtable_year,label
1343,207750,5500,9533,Torpedo Run Card Game Deluxe Edition,1983.0,Bull Run,1983.0,0
1241,196764,5307,5863,Star Wars:  Escape From Death Star Game,1977.0,Star Wars - Escape From Death Star,1977.0,1
200,39039,2413,8262,Dungeons & Dragons: The Fantasy Adventure Board Game - Eternal Winter Expansion Pack,2003.0,Friendly Fire Pack #1,2003.0,0
993,163237,5180,983,Cosmic Encounter: Expansion Set #8,1982.0,Borderlands Expansion Set #1,1982.0,0
1493,226823,3698,2127,Pizarro & Co.,2002.0,Pizarro & Co.,2002.0,1
169,34654,2028,1961,Lord of the Rings: Battle of Destiny,2003.0,Battle Cry of Freedom,2003.0,0
1417,214408,5276,5632,The Campaign for North Africa,1979.0,"Campaign for North Africa, The",1979.0,1
999,164510,6597,9039,Mobile Suit Gundam: White Base,1982.0,Moon Base Clavius,1982.0,0
1345,207785,5518,7322,The Forever War,1983.0,"Forever War, The",1983.0,1
310,56290,1075,6556,Principles of War: Napoleonics,1996.0,"Forgotten War, The - Korea",1996.0,0
552,93419,2673,8478,War in Europe (second edition),1999.0,Axis & Allies - Europe,1999.0,0
383,69887,2872,5839,Australian Rails,1994.0,Australian Rails,1994.0,1
649,110257,3405,1874,Babel,2000.0,Babel,2000.0,1
188,37071,2180,4121,20th Century Time Travel Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0,0
1458,220090,1243,3940,Monopoly: Betty Boop,2002.0,Monopoly - Spider-Man Collector's Edition (2002 Edition),2002.0,0
293,54352,6891,2532,Age of Steam Expansion #1: England & Ireland,2003.0,Duel of Ages Set 1: Worldspanner,2003.0,0
1618,246087,6310,5320,Apples to Apples: Expansion Set #4,2002.0,Battletech Introductory Box Set,2002.0,0
372,68496,1334,6618,Eagles of the Empire: Borodino,1994.0,1807 - The Eagles Turn East,1994.0,0
554,93906,2831,10181,The Lost Mountain of God,1999.0,Lost Cities: The Card Game,1999.0,0
1517,231698,4151,9095,Monster Island,2002.0,Advanced Tobruk (2016 Monster Edition),2002.0,0
1098,178758,2731,3354,Wings of War: Famous Aces,2004.0,Defiant Russia 1941 - The War Against Nazi Aggression,2004.0,0
1186,189057,214,9903,Sceptre 1027 A.D.,1986.0,Sceptre 1027 A.D.,1986.0,1
206,42637,2853,9944,Millennium Wars: Korea,2003.0,Korea: The Forgotten War,2003.0,0
1580,241055,5095,6956,Clans,2002.0,Clans,2002.0,1
1561,238440,4906,8708,Am Rande des Gletschers,2002.0,Wacht am Rhein,2002.0,0
427,75526,4943,7538,The Great Balloon Race,1991.0,The Great Battles of Alexander,1991.0,0
281,51617,6672,6071,Duel of Ages Set 5: Mercenary Camp,2003.0,Duel of Ages Set 5: Mercenary Camp,2003.0,1
95,17143,742,8262,Tobruk Expansion Pack 2: Benghazi Handicap,2003.0,Friendly Fire Pack #1,2003.0,0
706,121277,3939,8743,Star of the Guardians,1995.0,Star Wars - Death Star Assault Game,1995.0,0
0,130,244,5464,Win Lose or Draw,1988.0,"Win, Lose or Draw",1988.0,1
1134,183586,3162,8212,Struggle of Empires,2004.0,Struggle of Empires,2004.0,1
231,45428,4884,2532,Worlds of Heroes & Tyrants: Hell Card Expansion #1 - Alone,2003.0,Duel of Ages Set 1: Worldspanner,2003.0,0
701,120070,2817,4652,The Great Dalmuti,1995.0,The Great Battles of Alexander: Deluxe Edition,1995.0,0
1582,241427,5150,9165,Friends Trivia Game,2002.0,Harry Potter and the Chamber of Secrets - Trivia Game,2002.0,0
1661,250762,3461,4489,Wings of War: Watch Your Back!,2005.0,Battles from the Age of Reason #5 - Lobositz - First Battle of the Seven Years War,2005.0,0
113,20971,1158,4121,History's Mysteries Card Game,2003.0,Lewis & Clark Exploration Card Game,2003.0,0
603,102546,6809,10181,Langrisser Trading Card Game,1999.0,Lost Cities: The Card Game,1999.0,0
1263,199746,5204,10242,Dungeons & Dragons Computer Labyrinth Game,1980.0,Dungeons & Dragons Computer Labyrinth Game,1980.0,1
702,120085,2817,7649,The Great Dalmuti,1995.0,"Great War in Europe, The",1995.0,0
854,145931,6393,6277,Europe Aflame,1989.0,Europe Aflame,1989.0,1
305,55770,669,505,China Moon,1996.0,China Moon,1996.0,1
1035,170752,2544,4310,Battle of the Five Armies,1975.0,"Shiloh - The Battle for Tennessee, 6-7 April, 1862",1975.0,0
1438,216912,5929,5618,North Sea Oil,1974.0,Crude: The Oil Game,1974.0,0
1498,227429,3717,7942,Star Wars: Jedi Unleashed,2002.0,Star Wars Epic Duels,2002.0,0
589,100452,5502,2615,Monopoly: Star Wars Episode 1,1999.0,TurfMaster Course Collection 1,1999.0,0
367,66675,6197,5414,Afrika (first edition),1993.0,First Contact,1993.0,0
834,141536,6926,6214,Merge War,2001.0,Second World War at Sea: Eastern Fleet,2001.0,0
985,162636,4130,3299,Zulu Attack,1982.0,Attack in the Ardennes,1982.0,0
1437,216904,5929,210,North Sea Oil,1974.0,King Oil,1974.0,0
150,30719,1725,3529,Hey That's My Fish!,2003.0,"Hey, That's My Fish!",2003.0,1
361,64927,3594,5973,Doom of the Eldar,1993.0,Doom of the Eldar,1993.0,1
261,49882,6385,6665,When Darkness Comes: The Darkness Before the Dawn,2003.0,When Darkness Comes: Darkness Before the Dawn,2003.0,1
741,125002,308,4935,Red Badge of Courage,2001.0,Red Badge of Courage,2001.0,1
507,84612,1864,7028,I Giochi del 2000: Elemental Wars,1997.0,Crib Wars,1997.0,0
1152,185586,3365,8344,Advanced Squad Leader: Starter Kit #1,2004.0,Advanced Squad Leader : Starter Kit #1,2004.0,1
1327,206402,2877,8082,Pacific Fleet,1983.0,Pacific Fleet,1983.0,1
403,73393,6927,6683,Spuren im Busch,1994.0,I'm the Boss,1994.0,0
1239,196680,5172,3372,Cosmic Encounter: Expansion Set #1,1977.0,Chess Set,1977.0,0
580,99317,5155,7087,Chinatown,1999.0,Chinatown,1999.0,1
1311,205254,373,1075,The Omega War,1983.0,War in the South Atlantic,1983.0,0
285,52831,6782,6948,Killer Bunnies and the Quest for the Magic Carrot RED Booster,2003.0,Killer Bunnies and the Quest for the Magic Carrot VIOLET Booster,2003.0,0
14,5158,3108,5803,All My Children,1985.0,All My Children,1985.0,1
536,90083,411,2598,Monopoly: Justice League of America,1999.0,America in Flames,1999.0,0
407,73748,876,423,Rio Grande:  The Battle of Valverde,1991.0,"Stand & Die - The Battle of Borodino, 1941",1991.0,0
486,81115,4501,6522,Across 5 Aprils,1992.0,Across 5 Aprils,1992.0,1
1346,207867,5554,6847,Blue Max,1983.0,Blue Max - Dogfights Over France (1st Edition),1983.0,1
1172,187231,454,6553,Cathedral,1978.0,Cathedral (Pre-Owned),1978.0,1
1449,218369,693,1505,Battle Grid,2002.0,Panzer Grenadier: Battle of the Bulge,2002.0,0
168,34319,2015,5515,Tyrant: Battles of Carthage versus Syracuse,2003.0,Brick Battles,2003.0,0
1518,231763,4167,8536,Gregory Horror Show,2002.0,When Darkness Comes ... The Horror Within,2002.0,0
1382,210889,5198,4110,Cold War,1984.0,"Korean War, The",1984.0,0
1487,225422,3390,4642,Jours de gloire Campagne II: La Pologne,2002.0,World War II: Barbarossa to Berlin,2002.0,0
1444,218045,549,6065,Panzer Grenadier: Afrika Korps,2002.0,Panzer Grenadier: Arctic Front,2002.0,0
377,68790,1541,3163,Video Fighter: Dragons of Fury,1994.0,Dragons' Derby,1994.0,0
309,55996,888,10298,Monty Python and the Holy Grail CCG,1996.0,Battles from the Age of Reason #2 - Zorndorf - Frederick vs. the Warriors of Holy Russia,1996.0,0
325,60243,4669,6884,Stonewall's Last Battle,1996.0,Baraque de Fraiture - The Battle for Parker's Crossroads (2nd Edition),1996.0,0
1397,212333,655,3448,Foreign Legion: Macta,1979.0,Foreign Exchange,1979.0,0
870,147840,1347,6359,Caesar: Conquest of Gaul,1998.0,Caesar: Conquest of Gaul Board Game,1998.0,1
617,103714,417,641,Monopoly: Scooby-doo! Fright Fest,2000.0,Monopoly - Lionel Post-War Era (Collector's Edition),2000.0,0
926,157392,6899,9749,Monopoly: World Cup France '98 Edition,1998.0,Aussie ASL '98 Pack (1st Edition),1998.0,0
338,61282,5398,1230,The Tick: Hip Deep in Evil!,1996.0,"Tick, The - Hip Deep in Evil",1996.0,1
